Module,Renderer,ApiVersion,Width,Height,Fullscreen,AntiAliasing,AvgFPS,Duration,MaxGpuTemp,Score
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.3.0 NVIDIA 319.32,1280,720,NO,Off,866,5000,0,4383
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.3.0 NVIDIA 319.32,1024,640,NO,Off,1164,60000,0,69960
PixMark JuliaFP64,GeForce GTX 680/PCIe/SSE2,4.3.0 NVIDIA 319.32,1024,640,NO,Off,118,60000,0,7116
TessMark X16,GeForce GTX 680/PCIe/SSE2,4.3.0 NVIDIA 319.32,1280,720,NO,Off,1232,60000,0,73873
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,712,60000,0,42816
PixMark JuliaFP64,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,84,60000,0,5047
TessMark X16,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,966,60000,0,57971
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,715,60000,0,42946
PixMark JuliaFP32,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1920,1080,YES,Off,347,60000,0,20879
PixMark JuliaFP64,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1280,720,NO,Off,83,60000,0,5037
PixMark JuliaFP64,GeForce GTX 680/PCIe/SSE2,4.4.0 NVIDIA 331.38,1920,1080,YES,Off,38,60000,0,2307
FurMark,NVIDIA GeForce GTX 1660 Ti/PCIe/SSE2,4.6.0 NVIDIA 515.65.01,1920,1080,YES,Off,115,60000,0,6918
FurMark,NVIDIA GeForce GTX 1660 Ti/PCIe/SSE2,4.6.0 NVIDIA 515.65.01,1280,720,YES,Off,116,60000,0,6966
